Rank,Forbes 2000 rank,Name,Headquarters,Revenue(billions US$),Profit(billions US$),Assets(billions US$),Value(billions US$),Industry
1,54,(+1),Mumbai,86.85,7.81,192.59,228.63,Conglomerate
2,130,(0),Mumbai,150,139,160,350,Conglomerate
3,105,(+5),Mumbai,54.52,4.32,696.51,58.39,Banking
4,154,(-38),Mumbai,22.51,5.11,280.16,98.28,Banking
5,205,(-23),Mumbai,21.89,3.01,226.39,67.9,Banking
6,229,(+426),New Delhi,66.28,6.00,75.51,28.62,Oil and gas
7,269,(-49),Mumbai,18.48,2.91,118.61,52.30,Financials
8,358,(+241),New Delhi,72.20,3.72,51.73,16.53,Oil and gas
9,385,(-63),Mumbai,25.73,5.14,18.68,172.79,Infotech
10,408,(+531),Mumbai,31.07,5.01,34.62,20.42,Iron and steel
11,432,(+153),Mumbai,11.41,1.71,152.12,31.32,Banking
12,484,(+29),New Delhi,17.00,2.17,55.00,20.32,Utilities
13,514,(-148),Mumbai,20.53,1.12,40.82,31.13,Capital goods
14,539,(-47),Bangalore,16.33,2.97,15.56,87.21,Infotech
15,574,(+354),Mumbai,9.50,0.50,17.40,20.10,Iron and steel
16,593,(+703),Mumbai,16.38,2.63,25.3,20.21,Metals and mining
17,615,(+177),Mumbai,43.2,2.59,25.18,11.16,Oil and gas
18,628,(-181),Mumbai,7.92,1.46,41.57,44.83,Banking
19,643,(-473),Mumbai,24.33,1.60,27.45,15.11,Metals and mining
20,710,(+15),New Delhi,14.98,0.406,48.72,56.80,Telecommunication
21,726,(+44),Kolkata,14.03,2.06,22.3,16.30,Metals and mining
22,729,(+55),Mumbai,39.04,âˆ’2.44,42.32,22.12,Automotive
23,789,(-59),New Delhi,10.15,1.86,106.71,4.10,Financials
24,809,(-114),Noida,11.19,1.49,11.57,39.09,Infotech
25,820,(-51),Bangalore,10.07,1.64,13.69,38.44,Infotech
26,822,(-26),Gurgaon,5.61,2.19,34.56,20.57,Utilities
27,827,(+60),Mumbai,12.35,0.87,36.94,14.77,Diversified
28,846,(-13),Kolkata,7.91,2.00,10.04,42.06,Consumer Goods
29,876,(-73),Pune,8.64,0.56,41.54,32.15,Financials
30,925,(+144),Bangalore,12.68,0.73,164.71,5.53,Banking
31,954,(-45),Vadodara,12.06,0.68,167.76,7.54,Banking
32,1000,(+123),Mumbai,11.28,0.67,148.94,3.62,Banking
33,1041,(+2),New Delhi,12.1,0.57,178.94,5.10,Banking
34,1063,(+134),Mumbai,11.59,0.73,22.36,14.96,Automotive
35,1171,(+416),New Delhi,12.98,1.79,15.87,5.48,Iron and steel
36,1215,(+162),New Delhi,10.98,1.53,12.03,9.52,Oil and gas
37,1348,(+203),Chennai,6.17,0.65,89.96,2.63,Banking
38,1362,(+557),Mumbai,5.10,0.87,9.30,28.97,Pharmaceuticals
39,1514,(+98),New Delhi,2.55,0.82,58.03,3.83,Financials
40,1453,(+547),Ahmedabad,7.86,0.09,11.09,32.70,Consumer Goods
41,1472,(+238),Mumbai,5.09,0.58,51.26,9.72,Banking
42,1525,(-133),Mumbai,6.26,0.39,98.51,2.66,Banking
43,1489,(-78),Ahmedabad,2.10,0.67,11.36,24.12,Shipping
44,1570,(+430),Ahmedabad,0.41,0.01,3.93,59.06,Renewable energy
45,1656,(-30),Bangalore,30.00,0.15,2.7,2.50,Gems and jewellery
46,1687,(-151),Mumbai,3.77,0.41,2.84,39.69,Chemicals
47,1705,(+295),Ahmedabad,1.49,0.16,6.11,38.15,Utilities
48,1730,(-87),Pune,5.72,0.69,5.51,16.61,Infotech
49,1746,(+254),Ahmedabad,0.35,0.07,0.50,34.74,Oil and gas
50,1756,(-136),Pune,4.54,0.83,4.51,13.79,Automotive
51,1759,(+208),Mumbai,4.00,0.20,1.93,34.12,Retail
52,1759,(+208),Chennai,4.00,0.20,1.93,34.12,Retail
